q,시그널,타깃,평균수익12M(%),승률(%),표본
Q1(가장낮음),SOX YoY,삼성전자,64.5,97.0,30
Q2,SOX YoY,삼성전자,34.0,60.0,30
Q3,SOX YoY,삼성전자,9.1,57.0,30
Q4,SOX YoY,삼성전자,9.7,43.0,30
Q5(가장높음),SOX YoY,삼성전자,-0.3,37.0,30
Q1(가장낮음),SOX YoY,SK하이닉스,108.8,97.0,30
Q2,SOX YoY,SK하이닉스,61.1,73.0,30
Q3,SOX YoY,SK하이닉스,19.6,53.0,30
Q4,SOX YoY,SK하이닉스,25.3,67.0,30
Q5(가장높음),SOX YoY,SK하이닉스,26.3,67.0,30
Q1(가장낮음),마이크론 YoY,삼성전자,67.9,100.0,30
Q2,마이크론 YoY,삼성전자,37.2,73.0,30
Q3,마이크론 YoY,삼성전자,16.4,53.0,30
Q4,마이크론 YoY,삼성전자,-2.8,30.0,30
Q5(가장높음),마이크론 YoY,삼성전자,-1.8,37.0,30
Q1(가장낮음),마이크론 YoY,SK하이닉스,113.6,93.0,30
Q2,마이크론 YoY,SK하이닉스,57.9,77.0,30
Q3,마이크론 YoY,SK하이닉스,36.6,77.0,30
Q4,마이크론 YoY,SK하이닉스,7.0,37.0,30
Q5(가장높음),마이크론 YoY,SK하이닉스,26.0,73.0,30
Q1(가장낮음),원달러 YoY,삼성전자,0.3,27.0,30
Q2,원달러 YoY,삼성전자,2.6,50.0,30
Q3,원달러 YoY,삼성전자,33.3,67.0,30
Q4,원달러 YoY,삼성전자,29.6,63.0,30
Q5(가장높음),원달러 YoY,삼성전자,51.3,87.0,30
Q1(가장낮음),원달러 YoY,SK하이닉스,17.2,50.0,30
Q2,원달러 YoY,SK하이닉스,30.1,77.0,30
Q3,원달러 YoY,SK하이닉스,71.6,80.0,30
Q4,원달러 YoY,SK하이닉스,46.7,73.0,30
Q5(가장높음),원달러 YoY,SK하이닉스,75.5,77.0,30
Q1(가장낮음),반도체수출 YoY,삼성전자,29.5,93.0,30
Q2,반도체수출 YoY,삼성전자,45.9,77.0,30
Q3,반도체수출 YoY,삼성전자,36.1,59.0,29
Q4,반도체수출 YoY,삼성전자,11.1,37.0,30
Q5(가장높음),반도체수출 YoY,삼성전자,-4.2,30.0,30
Q1(가장낮음),반도체수출 YoY,SK하이닉스,49.9,93.0,30
Q2,반도체수출 YoY,SK하이닉스,62.7,77.0,30
Q3,반도체수출 YoY,SK하이닉스,70.6,69.0,29
Q4,반도체수출 YoY,SK하이닉스,41.6,67.0,30
Q5(가장높음),반도체수출 YoY,SK하이닉스,17.1,50.0,30
Q1(가장낮음),메모리수출 YoY,삼성전자,24.7,93.0,30
Q2,메모리수출 YoY,삼성전자,51.5,83.0,30
Q3,메모리수출 YoY,삼성전자,32.1,45.0,29
Q4,메모리수출 YoY,삼성전자,8.2,33.0,30
Q5(가장높음),메모리수출 YoY,삼성전자,1.9,40.0,30
Q1(가장낮음),메모리수출 YoY,SK하이닉스,44.1,93.0,30
Q2,메모리수출 YoY,SK하이닉스,65.3,87.0,30
Q3,메모리수출 YoY,SK하이닉스,71.4,55.0,29
Q4,메모리수출 YoY,SK하이닉스,24.2,47.0,30
Q5(가장높음),메모리수출 YoY,SK하이닉스,37.1,73.0,30
