date,반도체수출_8542_백만$,메모리수출_854232_백만$,디램수출_백만$,낸드수출_백만$,반도체수출_8542_톤,메모리수출_854232_톤,디램수출_톤,낸드수출_톤
2006-01-31,2035.959287,0.0,0.0,0.0,1684.047,0.0,0.0,0.0
2006-02-28,1927.234476,0.0,0.0,0.0,1605.856,0.0,0.0,0.0
2006-03-31,2105.741236,0.0,0.0,0.0,1753.785,0.0,0.0,0.0
2006-04-30,2007.322407,0.0,0.0,0.0,1689.114,0.0,0.0,0.0
2006-05-31,2075.962557,0.0,0.0,0.0,1687.411,0.0,0.0,0.0
2006-06-30,2000.244261,0.0,0.0,0.0,1930.261,0.0,0.0,0.0
2006-07-31,2030.324047,0.0,0.0,0.0,1698.285,0.0,0.0,0.0
2006-08-31,2168.922074,0.0,0.0,0.0,1756.126,0.0,0.0,0.0
2006-09-30,2219.90953,0.0,0.0,0.0,1771.331,0.0,0.0,0.0
2006-10-31,2233.563687,0.0,0.0,0.0,1665.807,0.0,0.0,0.0
2006-11-30,2524.066124,0.0,0.0,0.0,1774.077,0.0,0.0,0.0
2006-12-31,2284.463024,0.0,0.0,0.0,1699.498,0.0,0.0,0.0
2007-01-31,2433.800517,1246.687484,673.429633,217.479966,1705.423,504.237,295.083,86.267
2007-02-28,2130.68709,1101.984255,521.299068,177.03979,1546.813,463.604,250.615,78.146
2007-03-31,2396.60296,1183.707954,545.020575,167.503673,1887.662,604.003,379.524,79.143
2007-04-30,2247.316719,1162.202569,517.709975,174.096145,1796.823,610.139,413.113,67.663
2007-05-31,2243.350703,1144.162018,411.857936,205.440979,1805.419,524.15,327.788,73.882
2007-06-30,2485.700775,1346.534025,464.977996,276.80602,1909.863,587.148,346.962,97.045
2007-07-31,2613.012978,1399.815505,468.238435,312.865549,1868.262,599.106,354.239,107.677
2007-08-31,2772.643504,1534.466023,524.072,384.010483,1974.056,631.444,376.671,119.178
2007-09-30,2635.474005,1459.698164,472.642496,327.021634,1882.648,580.11,326.513,120.562
2007-10-31,2828.157762,1520.696053,449.158887,287.745353,2098.501,631.415,347.874,124.704
2007-11-30,2949.304876,1502.024961,429.390223,338.255255,2056.367,582.097,300.603,101.391
2007-12-31,2542.302003,1268.43555,377.614611,333.271083,1977.708,622.059,345.093,102.525
2008-01-31,2334.904802,1107.923217,388.308216,283.210807,1992.932,629.115,376.325,128.677
2008-02-29,2113.375885,1062.076648,404.505084,269.579576,1780.462,567.979,355.337,110.697
2008-03-31,2333.395653,1213.904225,476.066897,232.315487,1938.243,607.451,361.874,94.938
2008-04-30,2221.386279,1148.525945,425.342672,228.694319,1843.585,579.91,339.14,113.375
2008-05-31,2356.853275,1206.92637,457.504077,246.366108,1863.086,575.858,342.421,105.439
2008-06-30,2467.106095,1187.795808,478.735318,235.058166,1920.706,572.075,340.683,110.818
2008-07-31,2438.936379,1199.731819,547.325021,230.41354,1968.037,641.086,383.326,125.436
2008-08-31,2370.108625,1155.37985,568.252609,200.481422,1971.868,702.115,450.834,127.14
2008-09-30,2336.401312,1080.343083,481.671245,172.400467,2035.365,701.146,441.057,124.302
2008-10-31,2017.634439,888.909149,368.762884,126.721644,1820.951,663.461,433.462,116.679
2008-11-30,1599.248786,711.137385,317.521445,113.525846,1398.312,596.791,408.791,102.45
2008-12-31,1191.062395,518.764361,273.625655,78.417719,1065.884,471.428,345.742,66.407
2009-01-31,1188.256767,523.126773,239.49975,97.991704,967.682,453.192,324.041,62.91
2009-02-28,1222.46815,611.480729,259.880934,107.299229,1162.555,489.757,342.3,69.139
2009-03-31,1431.509584,656.003835,285.520905,133.57134,1298.274,484.915,326.678,75.028
2009-04-30,1736.393775,784.608037,334.438036,142.729198,1531.655,556.589,382.126,69.792
2009-05-31,1959.78026,893.243083,378.436687,170.862703,1607.026,556.086,369.298,69.631
2009-06-30,2021.970275,966.937901,414.883782,160.183015,1696.325,613.347,414.123,69.269
2009-07-31,2155.840441,1006.328245,488.517707,157.748032,1820.152,624.591,428.557,83.644
2009-08-31,2274.211779,1108.112731,508.988054,195.670841,1810.906,630.441,417.953,92.784
2009-09-30,2511.935507,1203.073227,534.108311,214.66461,1922.012,641.214,406.524,96.462
2009-10-31,2687.919691,1363.044843,633.155805,235.845506,1894.255,642.114,393.309,96.982
2009-11-30,2644.238164,1390.919469,687.308121,202.052249,1819.607,650.577,402.693,92.395
2009-12-31,2549.875436,1425.057573,807.443588,182.205226,1631.055,465.301,317.102,75.879
2010-01-31,2412.361427,1389.702239,807.930639,205.735211,1483.525,418.46,289.702,73.705
2010-02-28,2468.112122,1404.140598,768.51988,206.516589,1487.521,421.494,289.445,75.978
2010-03-31,2969.678213,1716.657966,937.605598,242.982447,1739.71,484.291,325.244,86.934
2010-04-30,3077.330993,1829.750196,976.081687,253.915961,1779.113,456.096,275.382,96.694
2010-05-31,3280.084213,1967.872676,1122.629515,239.560447,1824.923,469.268,292.24,94.873
2010-06-30,3276.849163,1940.598605,1084.988677,238.007229,1845.747,466.917,286.217,88.663
2010-07-31,3474.437167,2047.552968,1190.506118,242.464325,1903.245,493.661,311.675,98.259
